Comunidad autónoma y tamaño del municipio;Indicador;Abonados;Total
Cataluña;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Total;53,7
Cataluña;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Públicos;35,7
Cataluña;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Privados;20,8
Cataluña;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Total;35,2
Cataluña;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Públicos;23,2
Cataluña;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Privados;12,9
Cataluña;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Total;22,9
Cataluña;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Públicos;15,1
Cataluña;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Privados;8,7
Comunitat Valenciana;En porcentaje de la población total;Total;100
Comunitat Valenciana;En porcentaje de la población total;Abonados o socios: Total;26,6
Comunitat Valenciana;En porcentaje de la población total;Abonados o socios: Públicos;17,7
Comunitat Valenciana;En porcentaje de la población total;Abonados o socios: Privados;10,4
Comunitat Valenciana;En porcentaje de la población total;Abonados o socios de gimnasios: Total;17,6
Comunitat Valenciana;En porcentaje de la población total;Abonados o socios de gimnasios: Públicos;12,3
Comunitat Valenciana;En porcentaje de la población total;Abonados o socios de gimnasios: Privados;5,9
Comunitat Valenciana;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Total;11,2
Comunitat Valenciana;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Públicos;7,1
Comunitat Valenciana;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Privados;4,8
Comunitat Valenciana;En porcentaje de la población que practicó deporte en el último año;Total;100
Comunitat Valenciana;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Total;46,8
Comunitat Valenciana;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Públicos;30,8
Comunitat Valenciana;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Privados;18,8
Comunitat Valenciana;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Total;31,9
Comunitat Valenciana;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Públicos;22,1
Comunitat Valenciana;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Privados;10,8
Comunitat Valenciana;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Total;18,8
Comunitat Valenciana;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Públicos;11,8
Comunitat Valenciana;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Privados;8,3
Extremadura;En porcentaje de la población total;Total;100
Extremadura;En porcentaje de la población total;Abonados o socios: Total;23,6
Extremadura;En porcentaje de la población total;Abonados o socios: Públicos;14,7
Extremadura;En porcentaje de la población total;Abonados o socios: Privados;9,9
Extremadura;En porcentaje de la población total;Abonados o socios de gimnasios: Total;13,0
Extremadura;En porcentaje de la población total;Abonados o socios de gimnasios: Públicos;9,4
Extremadura;En porcentaje de la población total;Abonados o socios de gimnasios: Privados;3,8
Extremadura;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Total;12,5
Extremadura;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Públicos;6,8
Extremadura;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Privados;6,2
Extremadura;En porcentaje de la población que practicó deporte en el último año;Total;100
Extremadura;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Total;43,4
Extremadura;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Públicos;28,1
Extremadura;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Privados;17,4
Extremadura;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Total;25,3
Extremadura;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Públicos;17,9
Extremadura;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Privados;7,7
Extremadura;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Total;22,2
Extremadura;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Públicos;13,2
Extremadura;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Privados;10,1
Galicia;En porcentaje de la población total;Total;100
Galicia;En porcentaje de la población total;Abonados o socios: Total;27,8
Galicia;En porcentaje de la población total;Abonados o socios: Públicos;17,1
