Indicador;Sexo, edad, nivel estudios, sit. labora, estado civil, tipo de hogar;periodo;Total
TOTAL (Millones de euros);Grupos de edad: De 65 años en adelante;2013;444,9
TOTAL (Millones de euros);Grupos de edad: De 65 años en adelante;2012;551,4
TOTAL (Millones de euros);Grupos de edad: De 65 años en adelante;2011;473,5
TOTAL (Millones de euros);Grupos de edad: De 65 años en adelante;2010;391,2
TOTAL (Millones de euros);Grupos de edad: De 65 años en adelante;2009;376,9
TOTAL (Millones de euros);Grupos de edad: De 65 años en adelante;2008;327,2
TOTAL (Millones de euros);Grupos de edad: De 65 años en adelante;2007;361,7
TOTAL (Millones de euros);Grupos de edad: De 65 años en adelante;2006;336,5
TOTAL (Millones de euros);Nivel de estudios: Primera etapa de ed. Secundaria e inferior;2023;1.520,0
TOTAL (Millones de euros);Nivel de estudios: Primera etapa de ed. Secundaria e inferior;2022;1.360,0
TOTAL (Millones de euros);Nivel de estudios: Primera etapa de ed. Secundaria e inferior;2021;863,0
TOTAL (Millones de euros);Nivel de estudios: Primera etapa de ed. Secundaria e inferior;2020;633,4
TOTAL (Millones de euros);Nivel de estudios: Primera etapa de ed. Secundaria e inferior;2019;1.343,1
TOTAL (Millones de euros);Nivel de estudios: Primera etapa de ed. Secundaria e inferior;2018;1.400,5
TOTAL (Millones de euros);Nivel de estudios: Primera etapa de ed. Secundaria e inferior;2017;1.462,5
TOTAL (Millones de euros);Nivel de estudios: Primera etapa de ed. Secundaria e inferior;2016;1.396,0
TOTAL (Millones de euros);Nivel de estudios: Primera etapa de ed. Secundaria e inferior;2015;1.309,9
TOTAL (Millones de euros);Nivel de estudios: Primera etapa de ed. Secundaria e inferior;2014;1.262,1
TOTAL (Millones de euros);Nivel de estudios: Primera etapa de ed. Secundaria e inferior;2013;1.372,5
TOTAL (Millones de euros);Nivel de estudios: Primera etapa de ed. Secundaria e inferior;2012;1.520,2
TOTAL (Millones de euros);Nivel de estudios: Primera etapa de ed. Secundaria e inferior;2011;1.497,2
TOTAL (Millones de euros);Nivel de estudios: Primera etapa de ed. Secundaria e inferior;2010;1.483,9
TOTAL (Millones de euros);Nivel de estudios: Primera etapa de ed. Secundaria e inferior;2009;1.468,4
TOTAL (Millones de euros);Nivel de estudios: Primera etapa de ed. Secundaria e inferior;2008;1.607,2
TOTAL (Millones de euros);Nivel de estudios: Primera etapa de ed. Secundaria e inferior;2007;1.735,2
TOTAL (Millones de euros);Nivel de estudios: Primera etapa de ed. Secundaria e inferior;2006;1.536,7
TOTAL (Millones de euros);Nivel de estudios: Segunda etapa de ed. secundaria;2023;1.072,0
TOTAL (Millones de euros);Nivel de estudios: Segunda etapa de ed. secundaria;2022;1.047,1
TOTAL (Millones de euros);Nivel de estudios: Segunda etapa de ed. secundaria;2021;745,3
TOTAL (Millones de euros);Nivel de estudios: Segunda etapa de ed. secundaria;2020;629,4
TOTAL (Millones de euros);Nivel de estudios: Segunda etapa de ed. secundaria;2019;1.062,2
TOTAL (Millones de euros);Nivel de estudios: Segunda etapa de ed. secundaria;2018;980,8
TOTAL (Millones de euros);Nivel de estudios: Segunda etapa de ed. secundaria;2017;1.111,9
TOTAL (Millones de euros);Nivel de estudios: Segunda etapa de ed. secundaria;2016;1.036,4
TOTAL (Millones de euros);Nivel de estudios: Segunda etapa de ed. secundaria;2015;876,6
TOTAL (Millones de euros);Nivel de estudios: Segunda etapa de ed. secundaria;2014;800,7
TOTAL (Millones de euros);Nivel de estudios: Segunda etapa de ed. secundaria;2013;996,8
TOTAL (Millones de euros);Nivel de estudios: Segunda etapa de ed. secundaria;2012;945,4
TOTAL (Millones de euros);Nivel de estudios: Segunda etapa de ed. secundaria;2011;910,5
TOTAL (Millones de euros);Nivel de estudios: Segunda etapa de ed. secundaria;2010;887,6
TOTAL (Millones de euros);Nivel de estudios: Segunda etapa de ed. secundaria;2009;904,7
TOTAL (Millones de euros);Nivel de estudios: Segunda etapa de ed. secundaria;2008;862,8
TOTAL (Millones de euros);Nivel de estudios: Segunda etapa de ed. secundaria;2007;826,9
TOTAL (Millones de euros);Nivel de estudios: Segunda etapa de ed. secundaria;2006;887,0
TOTAL (Millones de euros);Nivel de estudios: Educación superior o equivalente;2023;3.734,0
TOTAL (Millones de euros);Nivel de estudios: Educación superior o equivalente;2022;3.726,0
TOTAL (Millones de euros);Nivel de estudios: Educación superior o equivalente;2021;2.787,5
TOTAL (Millones de euros);Nivel de estudios: Educación superior o equivalente;2020;2.170,0
TOTAL (Millones de euros);Nivel de estudios: Educación superior o equivalente;2019;3.399,1
TOTAL (Millones de euros);Nivel de estudios: Educación superior o equivalente;2018;3.145,3
TOTAL (Millones de euros);Nivel de estudios: Educación superior o equivalente;2017;3.112,0
TOTAL (Millones de euros);Nivel de estudios: Educación superior o equivalente;2016;2.492,4
TOTAL (Millones de euros);Nivel de estudios: Educación superior o equivalente;2015;2.256,8
TOTAL (Millones de euros);Nivel de estudios: Educación superior o equivalente;2014;2.148,7
TOTAL (Millones de euros);Nivel de estudios: Educación superior o equivalente;2013;2.201,1
TOTAL (Millones de euros);Nivel de estudios: Educación superior o equivalente;2012;2.003,2
TOTAL (Millones de euros);Nivel de estudios: Educación superior o equivalente;2011;2.371,1
TOTAL (Millones de euros);Nivel de estudios: Educación superior o equivalente;2010;2.321,8
TOTAL (Millones de euros);Nivel de estudios: Educación superior o equivalente;2009;2.182,0
TOTAL (Millones de euros);Nivel de estudios: Educación superior o equivalente;2008;2.395,9
TOTAL (Millones de euros);Nivel de estudios: Educación superior o equivalente;2007;2.153,0
TOTAL (Millones de euros);Nivel de estudios: Educación superior o equivalente;2006;1.710,8
TOTAL (Millones de euros);Sit. Laboral: Ocupado;2023;5.186,7
TOTAL (Millones de euros);Sit. Laboral: Ocupado;2022;4.998,0
TOTAL (Millones de euros);Sit. Laboral: Ocupado;2021;3.503,4
TOTAL (Millones de euros);Sit. Laboral: Ocupado;2020;2.961,9
TOTAL (Millones de euros);Sit. Laboral: Ocupado;2019;4.664,3
TOTAL (Millones de euros);Sit. Laboral: Ocupado;2018;4.507,1
TOTAL (Millones de euros);Sit. Laboral: Ocupado;2017;4.674,1
TOTAL (Millones de euros);Sit. Laboral: Ocupado;2016;4.059,3
TOTAL (Millones de euros);Sit. Laboral: Ocupado;2015;3.609,4
TOTAL (Millones de euros);Sit. Laboral: Ocupado;2014;3.353,1
TOTAL (Millones de euros);Sit. Laboral: Ocupado;2013;3.584,5
TOTAL (Millones de euros);Sit. Laboral: Ocupado;2012;3.438,1
TOTAL (Millones de euros);Sit. Laboral: Ocupado;2011;3.848,2
TOTAL (Millones de euros);Sit. Laboral: Ocupado;2010;3.773,8
TOTAL (Millones de euros);Sit. Laboral: Ocupado;2009;3.727,1
TOTAL (Millones de euros);Sit. Laboral: Ocupado;2008;3.802,1
TOTAL (Millones de euros);Sit. Laboral: Ocupado;2007;3.964,4
TOTAL (Millones de euros);Sit. Laboral: Ocupado;2006;3.469,2
TOTAL (Millones de euros);Sit. Laboral: Parado;2023;94,6
TOTAL (Millones de euros);Sit. Laboral: Parado;2022;161,8
TOTAL (Millones de euros);Sit. Laboral: Parado;2021;76,4
TOTAL (Millones de euros);Sit. Laboral: Parado;2020;85,0
TOTAL (Millones de euros);Sit. Laboral: Parado;2019;111,9
TOTAL (Millones de euros);Sit. Laboral: Parado;2018;138,1
TOTAL (Millones de euros);Sit. Laboral: Parado;2017;135,3
TOTAL (Millones de euros);Sit. Laboral: Parado;2016;152,0
TOTAL (Millones de euros);Sit. Laboral: Parado;2015;195,6
TOTAL (Millones de euros);Sit. Laboral: Parado;2014;204,9
TOTAL (Millones de euros);Sit. Laboral: Parado;2013;268,5
