Organismos;Indicador;Naturaleza económica del gasto;periodo;Total
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;TOTAL (Miles de euros);2023;1,9
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;TOTAL (Miles de euros);2022;3,0
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;TOTAL (Miles de euros);2021;3,2
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;TOTAL (Miles de euros);2020;6,2
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;TOTAL (Miles de euros);2019;4,6
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;TOTAL (Miles de euros);2018;4,8
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;GASTOS CORRIENTES;2023;2,2
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;GASTOS CORRIENTES;2022;4,0
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;GASTOS CORRIENTES;2021;4,3
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;GASTOS CORRIENTES;2020;6,3
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;GASTOS CORRIENTES;2019;4,8
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;GASTOS CORRIENTES;2018;5,5
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;Gastos de personal;2023;12,1
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;Gastos de personal;2022;27,9
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;Gastos de personal;2021;29,6
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;Gastos de personal;2020;28,9
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;Gastos de personal;2019;29,8
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;Gastos de personal;2018;28,7
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;Gastos corrientes en bienes y servicios;2023;11,2
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;Gastos corrientes en bienes y servicios;2022;22,5
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;Gastos corrientes en bienes y servicios;2021;21,6
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;Gastos corrientes en bienes y servicios;2020;26,4
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;Gastos corrientes en bienes y servicios;2019;24,5
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;Gastos corrientes en bienes y servicios;2018;26,7
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;Gastos financieros;2023;0,0
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;Gastos financieros;2022;0,0
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;Gastos financieros;2021;0,0
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;Gastos financieros;2020;0,0
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;Gastos financieros;2019;0,0
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;Gastos financieros;2018;3,4
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;Transferencias corrientes;2023;0,4
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;Transferencias corrientes;2022;0,4
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;Transferencias corrientes;2021;0,4
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;Transferencias corrientes;2020;2,4
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;Transferencias corrientes;2019;0,4
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;Transferencias corrientes;2018;0,4
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;GASTOS DE CAPITAL;2023;0,4
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;GASTOS DE CAPITAL;2022;0,3
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;GASTOS DE CAPITAL;2021;0,2
