Tipo de entidad;Indicador;Comunidad autónoma;periodo;Total
AYUNTAMIENTOS;Porcentaje;SUBTOTAL (Sin País Vasco y Navarra);2010;..
AYUNTAMIENTOS;Porcentaje;Andalucía;2023;14,6
AYUNTAMIENTOS;Porcentaje;Andalucía;2022;14,6
AYUNTAMIENTOS;Porcentaje;Andalucía;2021;14,5
AYUNTAMIENTOS;Porcentaje;Andalucía;2020;13,8
AYUNTAMIENTOS;Porcentaje;Andalucía;2019;14,9
AYUNTAMIENTOS;Porcentaje;Andalucía;2018;14,9
AYUNTAMIENTOS;Porcentaje;Andalucía;2017;14,4
AYUNTAMIENTOS;Porcentaje;Andalucía;2016;14,9
AYUNTAMIENTOS;Porcentaje;Andalucía;2015;15,0
AYUNTAMIENTOS;Porcentaje;Andalucía;2014;..
AYUNTAMIENTOS;Porcentaje;Andalucía;2013;..
AYUNTAMIENTOS;Porcentaje;Andalucía;2012;16,0
AYUNTAMIENTOS;Porcentaje;Andalucía;2011;17,3
AYUNTAMIENTOS;Porcentaje;Andalucía;2010;16,1
AYUNTAMIENTOS;Porcentaje;Aragón;2023;3,5
AYUNTAMIENTOS;Porcentaje;Aragón;2022;3,8
AYUNTAMIENTOS;Porcentaje;Aragón;2021;3,8
AYUNTAMIENTOS;Porcentaje;Aragón;2020;3,6
AYUNTAMIENTOS;Porcentaje;Aragón;2019;3,3
AYUNTAMIENTOS;Porcentaje;Aragón;2018;3,7
AYUNTAMIENTOS;Porcentaje;Aragón;2017;3,5
AYUNTAMIENTOS;Porcentaje;Aragón;2016;3,6
AYUNTAMIENTOS;Porcentaje;Aragón;2015;3,3
AYUNTAMIENTOS;Porcentaje;Aragón;2014;..
AYUNTAMIENTOS;Porcentaje;Aragón;2013;..
AYUNTAMIENTOS;Porcentaje;Aragón;2012;3,4
AYUNTAMIENTOS;Porcentaje;Aragón;2011;3,1
AYUNTAMIENTOS;Porcentaje;Aragón;2010;3,4
AYUNTAMIENTOS;Porcentaje;Asturias, Principado de;2023;2,2
AYUNTAMIENTOS;Porcentaje;Asturias, Principado de;2022;2,1
AYUNTAMIENTOS;Porcentaje;Asturias, Principado de;2021;2,0
AYUNTAMIENTOS;Porcentaje;Asturias, Principado de;2020;2,3
AYUNTAMIENTOS;Porcentaje;Asturias, Principado de;2019;2,2
AYUNTAMIENTOS;Porcentaje;Asturias, Principado de;2018;2,2
AYUNTAMIENTOS;Porcentaje;Asturias, Principado de;2017;2,3
AYUNTAMIENTOS;Porcentaje;Asturias, Principado de;2016;2,5
AYUNTAMIENTOS;Porcentaje;Asturias, Principado de;2015;2,6
AYUNTAMIENTOS;Porcentaje;Asturias, Principado de;2014;..
