Destino del gasto;Indicador;Naturaleza económica del gasto;periodo;Total
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2014;120.512
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2013;138.314
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2012;145.040
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2011;107.562
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2010;116.286
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.1. Gastos de personal;2023;11.905
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.1. Gastos de personal;2022;13.036
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.1. Gastos de personal;2021;12.888
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.1. Gastos de personal;2020;12.726
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.1. Gastos de personal;2019;13.068
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.1. Gastos de personal;2018;13.159
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.1. Gastos de personal;2017;13.004
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.1. Gastos de personal;2016;13.408
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.1. Gastos de personal;2015;13.605
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.1. Gastos de personal;2014;13.619
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.1. Gastos de personal;2013;13.913
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.1. Gastos de personal;2012;13.561
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.1. Gastos de personal;2011;14.753
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.1. Gastos de personal;2010;15.400
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2023;26.083
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2022;18.307
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2021;14.154
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2020;14.514
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2019;14.984
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2018;15.415
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2017;15.473
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2016;14.400
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2015;13.724
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2014;14.200
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2013;13.321
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2012;13.640
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2011;16.528
