Federación;Competiciones;periodo;Total
Aeronáutica;Competiciones estatales: Otros;2014;46
Aeronáutica;Competiciones estatales: Otros;2013;80
Aeronáutica;Competiciones estatales: Otros;2012;54
Aeronáutica;Competiciones estatales: Otros;2011;65
Aeronáutica;Competiciones estatales: Otros;2010;48
Aeronáutica;Competiciones estatales: Otros;2009;51
Aeronáutica;Competiciones estatales: Otros;2008;38
Aeronáutica;Competiciones estatales: Otros;2007;38
Aeronáutica;Competiciones estatales: Otros;2006;4
Aeronáutica;Competiciones estatales: Otros;2005;0
Aeronáutica;Competiciones internacionales: Total;2024;61
Aeronáutica;Competiciones internacionales: Total;2023;59
Aeronáutica;Competiciones internacionales: Total;2022;63
Aeronáutica;Competiciones internacionales: Total;2021;45
Aeronáutica;Competiciones internacionales: Total;2020;11
Aeronáutica;Competiciones internacionales: Total;2019;65
Aeronáutica;Competiciones internacionales: Total;2018;53
Aeronáutica;Competiciones internacionales: Total;2017;46
Aeronáutica;Competiciones internacionales: Total;2016;49
Aeronáutica;Competiciones internacionales: Total;2015;49
Aeronáutica;Competiciones internacionales: Total;2014;49
Aeronáutica;Competiciones internacionales: Total;2013;63
Aeronáutica;Competiciones internacionales: Total;2012;49
Aeronáutica;Competiciones internacionales: Total;2011;33
Aeronáutica;Competiciones internacionales: Total;2010;40
Aeronáutica;Competiciones internacionales: Total;2009;37
Aeronáutica;Competiciones internacionales: Total;2008;34
Aeronáutica;Competiciones internacionales: Total;2007;33
Aeronáutica;Competiciones internacionales: Total;2006;27
Aeronáutica;Competiciones internacionales: Total;2005;28
Aeronáutica;Competiciones internacionales: Campeonatos del mundo;2024;19
Aeronáutica;Competiciones internacionales: Campeonatos del mundo;2023;15
Aeronáutica;Competiciones internacionales: Campeonatos del mundo;2022;12
Aeronáutica;Competiciones internacionales: Campeonatos del mundo;2021;9
Aeronáutica;Competiciones internacionales: Campeonatos del mundo;2020;0
Aeronáutica;Competiciones internacionales: Campeonatos del mundo;2019;16
Aeronáutica;Competiciones internacionales: Campeonatos del mundo;2018;20
