Indicador;Condición jurídica;periodo;Total
Porcentaje (del total de empresas);Sociedades anónimas o de responsabilidad limitadas;2016;38,3
Porcentaje (del total de empresas);Sociedades anónimas o de responsabilidad limitadas;2015;38,8
Porcentaje (del total de empresas);Sociedades anónimas o de responsabilidad limitadas;2014;39,5
Porcentaje (del total de empresas);Sociedades anónimas o de responsabilidad limitadas;2013;38,8
Porcentaje (del total de empresas);Sociedades anónimas o de responsabilidad limitadas;2012;38,3
Porcentaje (del total de empresas);Sociedades anónimas o de responsabilidad limitadas;2011;37,8
Porcentaje (del total de empresas);Sociedades anónimas o de responsabilidad limitadas;2010;37,4
Porcentaje (del total de empresas);Sociedades anónimas o de responsabilidad limitadas;2009;37,3
Porcentaje (del total de empresas);Sociedades anónimas o de responsabilidad limitadas;2008;36,8
Porcentaje (del total de empresas);Otras formas jurídicas;2024;8,3
Porcentaje (del total de empresas);Otras formas jurídicas;2023;8,4
Porcentaje (del total de empresas);Otras formas jurídicas;2022;8,7
Porcentaje (del total de empresas);Otras formas jurídicas;2021;8,7
Porcentaje (del total de empresas);Otras formas jurídicas;2020;8,7
Porcentaje (del total de empresas);Otras formas jurídicas;2019;8,7
Porcentaje (del total de empresas);Otras formas jurídicas;2018;8,7
Porcentaje (del total de empresas);Otras formas jurídicas;2017;8,9
Porcentaje (del total de empresas);Otras formas jurídicas;2016;9,8
Porcentaje (del total de empresas);Otras formas jurídicas;2015;10,2
Porcentaje (del total de empresas);Otras formas jurídicas;2014;10,1
Porcentaje (del total de empresas);Otras formas jurídicas;2013;9,7
Porcentaje (del total de empresas);Otras formas jurídicas;2012;9,9
Porcentaje (del total de empresas);Otras formas jurídicas;2011;9,7
Porcentaje (del total de empresas);Otras formas jurídicas;2010;9,5
Porcentaje (del total de empresas);Otras formas jurídicas;2009;9,3
Porcentaje (del total de empresas);Otras formas jurídicas;2008;8,9
