Indicador;Número de asalariados;periodo;Total
Valores absolutos;De 1 a 5 asalariados;2009;9.982,0
Valores absolutos;De 1 a 5 asalariados;2008;10.179,0
Valores absolutos;De 6 a 9 asalariados;2024;2.960,0
Valores absolutos;De 6 a 9 asalariados;2023;2.789,0
Valores absolutos;De 6 a 9 asalariados;2022;2.720,0
Valores absolutos;De 6 a 9 asalariados;2021;2.459,0
Valores absolutos;De 6 a 9 asalariados;2020;2.652,0
Valores absolutos;De 6 a 9 asalariados;2019;2.524,0
Valores absolutos;De 6 a 9 asalariados;2018;2.053,0
Valores absolutos;De 6 a 9 asalariados;2017;2.073,0
Valores absolutos;De 6 a 9 asalariados;2016;2.053,0
Valores absolutos;De 6 a 9 asalariados;2015;1.814,0
Valores absolutos;De 6 a 9 asalariados;2014;1.647,0
Valores absolutos;De 6 a 9 asalariados;2013;1.430,0
Valores absolutos;De 6 a 9 asalariados;2012;1.306,0
Valores absolutos;De 6 a 9 asalariados;2011;1.224,0
Valores absolutos;De 6 a 9 asalariados;2010;1.153,0
Valores absolutos;De 6 a 9 asalariados;2009;1.228,0
Valores absolutos;De 6 a 9 asalariados;2008;1.285,0
Valores absolutos;De 10 a 49 asalariados;2024;3.167,0
Valores absolutos;De 10 a 49 asalariados;2023;2.959,0
Valores absolutos;De 10 a 49 asalariados;2022;2.766,0
Valores absolutos;De 10 a 49 asalariados;2021;2.460,0
Valores absolutos;De 10 a 49 asalariados;2020;2.864,0
Valores absolutos;De 10 a 49 asalariados;2019;2.794,0
Valores absolutos;De 10 a 49 asalariados;2018;2.550,0
Valores absolutos;De 10 a 49 asalariados;2017;2.510,0
Valores absolutos;De 10 a 49 asalariados;2016;2.455,0
Valores absolutos;De 10 a 49 asalariados;2015;2.236,0
Valores absolutos;De 10 a 49 asalariados;2014;2.042,0
Valores absolutos;De 10 a 49 asalariados;2013;2.051,0
Valores absolutos;De 10 a 49 asalariados;2012;2.053,0
Valores absolutos;De 10 a 49 asalariados;2011;1.960,0
Valores absolutos;De 10 a 49 asalariados;2010;1.902,0
Valores absolutos;De 10 a 49 asalariados;2009;2.010,0
Valores absolutos;De 10 a 49 asalariados;2008;1.923,0
Valores absolutos;De 50 a 99 asalariados;2024;242,0
Valores absolutos;De 50 a 99 asalariados;2023;222,0
Valores absolutos;De 50 a 99 asalariados;2022;205,0
Valores absolutos;De 50 a 99 asalariados;2021;187,0
Valores absolutos;De 50 a 99 asalariados;2020;224,0
Valores absolutos;De 50 a 99 asalariados;2019;214,0
Valores absolutos;De 50 a 99 asalariados;2018;180,0
Valores absolutos;De 50 a 99 asalariados;2017;176,0
Valores absolutos;De 50 a 99 asalariados;2016;180,0
Valores absolutos;De 50 a 99 asalariados;2015;169,0
Valores absolutos;De 50 a 99 asalariados;2014;164,0
Valores absolutos;De 50 a 99 asalariados;2013;190,0
Valores absolutos;De 50 a 99 asalariados;2012;195,0
Valores absolutos;De 50 a 99 asalariados;2011;187,0
Valores absolutos;De 50 a 99 asalariados;2010;163,0
Valores absolutos;De 50 a 99 asalariados;2009;183,0
Valores absolutos;De 50 a 99 asalariados;2008;179,0
Valores absolutos;De 100 y más asalariados;2024;178,0
Valores absolutos;De 100 y más asalariados;2023;166,0
Valores absolutos;De 100 y más asalariados;2022;221,0
Valores absolutos;De 100 y más asalariados;2021;252,0
Valores absolutos;De 100 y más asalariados;2020;251,0
Valores absolutos;De 100 y más asalariados;2019;230,0
Valores absolutos;De 100 y más asalariados;2018;201,0
Valores absolutos;De 100 y más asalariados;2017;201,0
Valores absolutos;De 100 y más asalariados;2016;173,0
Valores absolutos;De 100 y más asalariados;2015;156,0
Valores absolutos;De 100 y más asalariados;2014;152,0
Valores absolutos;De 100 y más asalariados;2013;149,0
Valores absolutos;De 100 y más asalariados;2012;138,0
Valores absolutos;De 100 y más asalariados;2011;151,0
Valores absolutos;De 100 y más asalariados;2010;150,0
Valores absolutos;De 100 y más asalariados;2009;147,0
Valores absolutos;De 100 y más asalariados;2008;175,0
En % total de empresas;TOTAL;2024;1,3
En % total de empresas;TOTAL;2023;1,3
En % total de empresas;TOTAL;2022;1,3
En % total de empresas;TOTAL;2021;1,2
En % total de empresas;TOTAL;2020;1,2
En % total de empresas;TOTAL;2019;1,2
En % total de empresas;TOTAL;2018;1,0
En % total de empresas;TOTAL;2017;1,0
En % total de empresas;TOTAL;2016;1,0
En % total de empresas;TOTAL;2015;1,0
En % total de empresas;TOTAL;2014;0,9
En % total de empresas;TOTAL;2013;0,9
En % total de empresas;TOTAL;2012;0,8
En % total de empresas;TOTAL;2011;0,8
En % total de empresas;TOTAL;2010;0,7
En % total de empresas;TOTAL;2009;0,7
En % total de empresas;TOTAL;2008;0,7
En % total de empresas;Sin asalariados;2024;1,0
En % total de empresas;Sin asalariados;2023;0,9
En % total de empresas;Sin asalariados;2022;1,0
En % total de empresas;Sin asalariados;2021;0,9
En % total de empresas;Sin asalariados;2020;0,9
En % total de empresas;Sin asalariados;2019;0,9
En % total de empresas;Sin asalariados;2018;0,8
En % total de empresas;Sin asalariados;2017;0,8
En % total de empresas;Sin asalariados;2016;0,8
En % total de empresas;Sin asalariados;2015;0,8
En % total de empresas;Sin asalariados;2014;0,7
En % total de empresas;Sin asalariados;2013;0,7
En % total de empresas;Sin asalariados;2012;0,7
En % total de empresas;Sin asalariados;2011;0,6
En % total de empresas;Sin asalariados;2010;0,6
En % total de empresas;Sin asalariados;2009;0,5
En % total de empresas;Sin asalariados;2008;0,5
En % total de empresas;De 1 a 5 asalariados;2024;1,6
En % total de empresas;De 1 a 5 asalariados;2023;1,6
En % total de empresas;De 1 a 5 asalariados;2022;1,6
En % total de empresas;De 1 a 5 asalariados;2021;1,5
En % total de empresas;De 1 a 5 asalariados;2020;1,5
En % total de empresas;De 1 a 5 asalariados;2019;1,4
En % total de empresas;De 1 a 5 asalariados;2018;1,2
En % total de empresas;De 1 a 5 asalariados;2017;1,2
En % total de empresas;De 1 a 5 asalariados;2016;1,2
En % total de empresas;De 1 a 5 asalariados;2015;1,1
En % total de empresas;De 1 a 5 asalariados;2014;1,0
En % total de empresas;De 1 a 5 asalariados;2013;0,9
En % total de empresas;De 1 a 5 asalariados;2012;0,9
En % total de empresas;De 1 a 5 asalariados;2011;0,8
En % total de empresas;De 1 a 5 asalariados;2010;0,8
En % total de empresas;De 1 a 5 asalariados;2009;0,8
En % total de empresas;De 1 a 5 asalariados;2008;0,8
En % total de empresas;De 6 a 9 asalariados;2024;2,2
En % total de empresas;De 6 a 9 asalariados;2023;2,2
En % total de empresas;De 6 a 9 asalariados;2022;2,2
En % total de empresas;De 6 a 9 asalariados;2021;2,0
En % total de empresas;De 6 a 9 asalariados;2020;2,1
En % total de empresas;De 6 a 9 asalariados;2019;2,0
En % total de empresas;De 6 a 9 asalariados;2018;1,6
En % total de empresas;De 6 a 9 asalariados;2017;1,7
