Indicador;Comunidad autónoma;periodo;Total
Valores absolutos;Cantabria;2019;563,0
Valores absolutos;Cantabria;2018;456,0
Valores absolutos;Cantabria;2017;463,0
Valores absolutos;Cantabria;2016;407,0
Valores absolutos;Cantabria;2015;399,0
Valores absolutos;Cantabria;2014;364,0
Valores absolutos;Cantabria;2013;334,0
Valores absolutos;Cantabria;2012;309,0
Valores absolutos;Cantabria;2011;294,0
Valores absolutos;Cantabria;2010;273,0
Valores absolutos;Cantabria;2009;299,0
Valores absolutos;Cantabria;2008;311,0
Valores absolutos;Castilla y León;2024;1.849,0
Valores absolutos;Castilla y León;2023;1.753,0
Valores absolutos;Castilla y León;2022;2.375,0
Valores absolutos;Castilla y León;2021;2.271,0
Valores absolutos;Castilla y León;2020;2.309,0
Valores absolutos;Castilla y León;2019;2.259,0
Valores absolutos;Castilla y León;2018;1.986,0
Valores absolutos;Castilla y León;2017;1.949,0
Valores absolutos;Castilla y León;2016;1.870,0
Valores absolutos;Castilla y León;2015;1.756,0
Valores absolutos;Castilla y León;2014;1.583,0
Valores absolutos;Castilla y León;2013;1.470,0
Valores absolutos;Castilla y León;2012;1.418,0
Valores absolutos;Castilla y León;2011;1.306,0
Valores absolutos;Castilla y León;2010;1.253,0
Valores absolutos;Castilla y León;2009;1.124,0
Valores absolutos;Castilla y León;2008;1.123,0
Valores absolutos;Castilla-La Mancha;2024;1.548,0
Valores absolutos;Castilla-La Mancha;2023;1.506,0
Valores absolutos;Castilla-La Mancha;2022;1.572,0
Valores absolutos;Castilla-La Mancha;2021;1.479,0
Valores absolutos;Castilla-La Mancha;2020;1.527,0
Valores absolutos;Castilla-La Mancha;2019;1.482,0
Valores absolutos;Castilla-La Mancha;2018;1.277,0
Valores absolutos;Castilla-La Mancha;2017;1.278,0
Valores absolutos;Castilla-La Mancha;2016;1.216,0
Valores absolutos;Castilla-La Mancha;2015;1.150,0
Valores absolutos;Castilla-La Mancha;2014;1.032,0
Valores absolutos;Castilla-La Mancha;2013;903,0
Valores absolutos;Castilla-La Mancha;2012;854,0
Valores absolutos;Castilla-La Mancha;2011;799,0
Valores absolutos;Castilla-La Mancha;2010;767,0
Valores absolutos;Castilla-La Mancha;2009;795,0
Valores absolutos;Castilla-La Mancha;2008;782,0
Valores absolutos;Cataluña;2024;7.390,0
Valores absolutos;Cataluña;2023;6.944,0
Valores absolutos;Cataluña;2022;7.159,0
Valores absolutos;Cataluña;2021;6.791,0
Valores absolutos;Cataluña;2020;6.786,0
Valores absolutos;Cataluña;2019;6.545,0
Valores absolutos;Cataluña;2018;5.963,0
Valores absolutos;Cataluña;2017;5.850,0
Valores absolutos;Cataluña;2016;5.709,0
Valores absolutos;Cataluña;2015;5.358,0
Valores absolutos;Cataluña;2014;4.937,0
Valores absolutos;Cataluña;2013;4.684,0
Valores absolutos;Cataluña;2012;4.568,0
Valores absolutos;Cataluña;2011;4.378,0
Valores absolutos;Cataluña;2010;4.325,0
Valores absolutos;Cataluña;2009;4.032,0
Valores absolutos;Cataluña;2008;4.055,0
Valores absolutos;Comunitat Valenciana;2024;5.056,0
Valores absolutos;Comunitat Valenciana;2023;4.728,0
Valores absolutos;Comunitat Valenciana;2022;4.752,0
Valores absolutos;Comunitat Valenciana;2021;4.427,0
Valores absolutos;Comunitat Valenciana;2020;4.334,0
Valores absolutos;Comunitat Valenciana;2019;4.133,0
Valores absolutos;Comunitat Valenciana;2018;3.592,0
Valores absolutos;Comunitat Valenciana;2017;3.613,0
Valores absolutos;Comunitat Valenciana;2016;3.396,0
Valores absolutos;Comunitat Valenciana;2015;3.150,0
Valores absolutos;Comunitat Valenciana;2014;2.931,0
Valores absolutos;Comunitat Valenciana;2013;2.696,0
Valores absolutos;Comunitat Valenciana;2012;2.586,0
Valores absolutos;Comunitat Valenciana;2011;2.436,0
Valores absolutos;Comunitat Valenciana;2010;2.400,0
Valores absolutos;Comunitat Valenciana;2009;2.377,0
Valores absolutos;Comunitat Valenciana;2008;2.383,0
Valores absolutos;Extremadura;2024;812,0
Valores absolutos;Extremadura;2023;767,0
Valores absolutos;Extremadura;2022;784,0
Valores absolutos;Extremadura;2021;725,0
Valores absolutos;Extremadura;2020;737,0
Valores absolutos;Extremadura;2019;729,0
Valores absolutos;Extremadura;2018;664,0
Valores absolutos;Extremadura;2017;677,0
Valores absolutos;Extremadura;2016;654,0
Valores absolutos;Extremadura;2015;586,0
Valores absolutos;Extremadura;2014;545,0
Valores absolutos;Extremadura;2013;498,0
Valores absolutos;Extremadura;2012;500,0
Valores absolutos;Extremadura;2011;472,0
Valores absolutos;Extremadura;2010;473,0
Valores absolutos;Extremadura;2009;418,0
Valores absolutos;Extremadura;2008;417,0
Valores absolutos;Galicia;2024;2.747,0
Valores absolutos;Galicia;2023;2.582,0
Valores absolutos;Galicia;2022;2.657,0
Valores absolutos;Galicia;2021;2.571,0
Valores absolutos;Galicia;2020;2.540,0
Valores absolutos;Galicia;2019;2.453,0
Valores absolutos;Galicia;2018;2.166,0
Valores absolutos;Galicia;2017;2.117,0
Valores absolutos;Galicia;2016;2.076,0
Valores absolutos;Galicia;2015;1.951,0
Valores absolutos;Galicia;2014;1.827,0
Valores absolutos;Galicia;2013;1.730,0
Valores absolutos;Galicia;2012;1.676,0
Valores absolutos;Galicia;2011;1.544,0
Valores absolutos;Galicia;2010;1.500,0
Valores absolutos;Galicia;2009;1.402,0
Valores absolutos;Galicia;2008;1.390,0
Valores absolutos;Madrid, Comunidad de;2024;5.922,0
Valores absolutos;Madrid, Comunidad de;2023;5.613,0
Valores absolutos;Madrid, Comunidad de;2022;6.363,0
Valores absolutos;Madrid, Comunidad de;2021;6.008,0
Valores absolutos;Madrid, Comunidad de;2020;6.028,0
Valores absolutos;Madrid, Comunidad de;2019;5.766,0
Valores absolutos;Madrid, Comunidad de;2018;5.167,0
Valores absolutos;Madrid, Comunidad de;2017;5.166,0
Valores absolutos;Madrid, Comunidad de;2016;5.034,0
Valores absolutos;Madrid, Comunidad de;2015;4.789,0
Valores absolutos;Madrid, Comunidad de;2014;4.390,0
Valores absolutos;Madrid, Comunidad de;2013;4.102,0
Valores absolutos;Madrid, Comunidad de;2012;3.960,0
Valores absolutos;Madrid, Comunidad de;2011;3.760,0
Valores absolutos;Madrid, Comunidad de;2010;3.634,0
Valores absolutos;Madrid, Comunidad de;2009;3.217,0
Valores absolutos;Madrid, Comunidad de;2008;3.173,0
Valores absolutos;Murcia, Región de;2024;1.277,0
Valores absolutos;Murcia, Región de;2023;1.196,0
Valores absolutos;Murcia, Región de;2022;1.229,0
Valores absolutos;Murcia, Región de;2021;1.128,0
Valores absolutos;Murcia, Región de;2020;1.151,0
Valores absolutos;Murcia, Región de;2019;1.115,0
Valores absolutos;Murcia, Región de;2018;995,0
Valores absolutos;Murcia, Región de;2017;970,0
Valores absolutos;Murcia, Región de;2016;954,0
Valores absolutos;Murcia, Región de;2015;867,0
Valores absolutos;Murcia, Región de;2014;783,0
